fom_evals	rel_err	
100.0	0.400052138124	
200.0	0.0256843952189	
300.0	0.0274310190165	
400.0	0.0108436064003	
500.0	0.00318241928434	
600.0	0.00258514313676	
700.0	0.00177575067913	
800.0	0.00142887660298	
900.0	0.00097104635369	
1000.0	0.000606224630791	
1100.0	0.000274658776255	
1200.0	0.000266899893295	
1300.0	0.000297504276001	
1400.0	0.000268377911591	
1500.0	0.000266348636353	
1600.0	0.000342150147509	
1700.0	0.000263797206214	
1800.0	0.000261817882415	
1900.0	0.000261199651336	
2000.0	0.000259750876225	
2100.0	0.000251936328095	
2200.0	0.000249552424991	
2300.0	0.000248538668359	
2400.0	0.000247785415275	
2500.0	0.000247211321909	
2600.0	0.000246839916868	
2700.0	0.000246608863693	
2800.0	0.000246487590367	
2900.0	0.000246427030988	
3000.0	0.00024639992484	
3100.0	0.000246388153915	
3200.0	0.00024638330975	
3300.0	0.000246381339978	
3400.0	0.000246380560477	
3500.0	0.000246380251432	
3600.0	0.000246380131819	
3700.0	0.000246380084435	
3800.0	0.000246380066706	
